user_id,item_id,pred_score,rank
355,50,4.566209811479227,1
355,174,4.415056935374344,2
355,100,4.415041051514086,3
355,98,4.405023898248648,4
355,127,4.402086577844627,5
355,318,4.394304534410865,6
355,64,4.381718030151198,7
355,172,4.364567668755844,8
355,12,4.356622084309054,9
355,313,4.346000510085923,10
849,1,5.0,1
849,474,5.0,2
849,50,5.0,3
849,56,5.0,4
849,191,5.0,5
849,185,5.0,6
849,79,5.0,7
849,183,5.0,8
849,181,5.0,9
849,89,5.0,10
118,50,5.0,1
118,174,4.94823143300111,2
118,127,4.933694739190532,3
118,318,4.924972914648839,4
118,64,4.910866429291815,5
118,12,4.882739827557184,6
118,313,4.8708355626273825,7
118,181,4.864930447294668,8
118,483,4.863051667952946,9
118,357,4.838718646022337,10
178,357,3.8496773378637235,1
178,191,3.825675381219113,2
178,603,3.822130871782542,3
178,185,3.7992856184147055,4
178,272,3.798616927584252,5
178,515,3.798570278838087,6
178,474,3.7965478035067357,7
178,132,3.7878333258380934,8
178,496,3.7867287996898398,9
178,479,3.784616514394837,10
399,313,3.0929543907450316,1
399,483,3.0880116594824285,2
399,357,3.0725603214003487,3
399,89,3.054036093103389,4
399,191,3.0534035315840042,5
399,603,3.050574536294835,6
399,427,3.0485065747888704,7
399,183,3.0365932547222907,8
399,134,3.0344308940916047,9
399,185,3.0323409512772126,10
138,50,4.72496887202089,1
138,174,4.568560677041203,2
138,127,4.5551393630593475,3
138,64,4.534062636891886,4
138,172,4.516315987683336,5
138,313,4.497103281658155,6
138,181,4.491651257421271,7
138,483,4.4899166341447225,8
138,173,4.464509588748452,9
138,302,4.4614041245188885,10
628,50,5.0,1
628,174,4.910786789180464,2
628,100,4.910769121854253,3
628,98,4.899627226145735,4
628,127,4.896360098575967,5
628,318,4.887704274506938,6
628,64,4.8737045368489476,7
628,172,4.85462850467025,8
628,12,4.845790776934288,9
628,313,4.833976594888902,10
713,50,3.2656154266233903,1
713,174,3.1575154521663045,2
713,100,3.1575040925089004,3
713,98,3.150340126860141,4
713,127,3.1482394439698824,5
713,318,3.1426739614061905,6
713,64,3.1336724734819392,7
713,172,3.1214070526937747,8
713,12,3.115724610534033,9
713,181,3.104360268721449,10
788,50,3.7017593667994735,1
788,127,3.5687070668615775,2
788,313,3.523238913788367,3
788,181,3.518967545588163,4
788,173,3.497703505768743,5
788,168,3.479306846103428,6
788,191,3.478185832344017,7
788,603,3.4749632738997187,8
788,134,3.4565737662526317,9
788,185,3.4541930755210477,10
646,50,3.3210303064730398,1
646,174,3.211095961977323,2
646,100,3.2110844095556255,3
646,98,3.2037988771441555,4
646,127,3.2016625473467264,5
646,318,3.1960026229987823,6
646,64,3.1868483870296376,7
646,172,3.174374831868472,8
646,12,3.168595963213753,9
646,181,3.157038777617121,10
